date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:12	47634/47634	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202025%2013:54:11%20GMT	https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill.html	(from )
08:54:12	159/159	---M--	302	error ('Found')	text/html	date:Sun,%2012%20Jan%202025%2013:54:12%20GMT	https://www.toastmasters.org/robots.txt		(from )
08:54:13	3091/3091	---M-Z	200	added ('OK')	application/x-javascript	etag:%220b613ca5b8d91:0%22	https://www.toastmasters.org/layouts/system/VisitorIdentification.js	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/www.toastmasters.org/layouts/system/VisitorIdentification.js	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:13	17/17	---M--	200	added ('OK')	text/css	etag:%22f130fd70bd4cfa88cacd6d9b4c8c0f19:1697857446.426611%22	https://cloud.typography.com/7625160/6823232/css/fonts.css	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/cloud.typography.com/7625160/6823232/css/fonts.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:14	127457/127457	---M-Z	200	added ('OK')	text/css	etag:%22f40e51252c60c3cf617b42b4a9faa685577f360e%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/bootstrap.css?f40e51252c60c3cf617b42b4a9faa685577f360e	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/bootstrap88b1.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:15	14888/14888	---M-Z	200	added ('OK')	text/css	etag:%22f8ebbfbc6ea35899fc0dc7dfbe49f0c417977eb1%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/bootstrap-theme.css?f8ebbfbc6ea35899fc0dc7dfbe49f0c417977eb1	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/bootstrap-theme89d3.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:16	169871/169871	---M-Z	200	added ('OK')	text/css	etag:%22aafda25c6cbe6ef7c7d51d9eeb229c3080489a23%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/Site.css?aafda25c6cbe6ef7c7d51d9eeb229c3080489a23	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/Sitedf82.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:18	38392/38392	---M-Z	200	added ('OK')	text/css	etag:%22f103c57da27bffd2ff613de499394d56e2151e40%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/callouts.css?f103c57da27bffd2ff613de499394d56e2151e40	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/calloutsa775.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:18	17158/17158	---M-Z	200	added ('OK')	text/css	etag:%227094a1b3a44527045eaaf87b70cdd44f72a49790%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/store.css?7094a1b3a44527045eaaf87b70cdd44f72a49790	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/store8e8f.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:18	12614/12614	---M-Z	200	added ('OK')	text/css	etag:%22a9453b38d8315173fcbb389623c5631c46824c92%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/jquery.feedback_me.css?a9453b38d8315173fcbb389623c5631c46824c92	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/jquery.feedback_me628d.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:18	7228/7228	---M-Z	200	added ('OK')	text/css	etag:%22e441b0847bea3f90bffe404a8b9c797c15757579%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/TI.css?e441b0847bea3f90bffe404a8b9c797c15757579	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/TIca2c.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:19	192500/192500	---M-Z	200	added ('OK')	text/css	etag:%227d372968cc242cbcc70857a88d82f0edfb0b5241%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/all.css?7d372968cc242cbcc70857a88d82f0edfb0b5241	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/all6831.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:19	4232/4232	---M-Z	200	added ('OK')	text/css	etag:%22537eaa4abbc6e7e3003fa389940a9e923cc416e0%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/Base/Inputs.css?537eaa4abbc6e7e3003fa389940a9e923cc416e0	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/Base/Inputs0d67.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:19	1449/1449	---M-Z	200	added ('OK')	text/css	etag:%22e566a9a0134b5f1b43c5553643a54217659e9927%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/Base/Tables.css?e566a9a0134b5f1b43c5553643a54217659e9927	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/Base/Tables8016.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
08:54:19	2819/2819	---M-Z	200	added ('OK')	text/css	etag:%22e2dcd2ec986c56a252bb4689af737c92b24939de%22	https://jcdn.toastmasters.org/cassette.axd/asset/Content/css/Base/Typography.css?e2dcd2ec986c56a252bb4689af737c92b24939de	C:/My%20Web%20Sites/2024%202nd%20VP%20Candidates/jcdn.toastmasters.org/cassette.axd/asset/Content/css/Base/Typography504d.css	(from https://www.toastmasters.org/About/Board%20of%20Directors/International%20Officer%20and%20Director%20Candidates/ElmerHill)
